               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.014908,           0.0042731,                   0,             0.92229,             0.86598,              0.8788,             0.36097,            0.047353,           0.0038803,                   0,           0.0010992,           0.0010992,           0.0010992
                  66,             0.01524,           0.0042386,                   0,             0.91816,             0.86598,             0.87598,             0.38596,            0.046144,           0.0038694,                   0,           0.0010695,           0.0010695,           0.0010695
                  67,            0.015263,           0.0042339,                   0,             0.91716,             0.86598,             0.87661,             0.38866,            0.045572,           0.0038813,                   0,           0.0010398,           0.0010398,           0.0010398
                  68,            0.014754,             0.00418,                   0,             0.91241,             0.86598,             0.87603,             0.39594,            0.045491,           0.0038879,                   0,           0.0010101,           0.0010101,           0.0010101
                  69,            0.014131,           0.0041899,                   0,               0.913,             0.86548,             0.87545,             0.37144,            0.046551,           0.0038273,                   0,           0.0009804,           0.0009804,           0.0009804
                  70,            0.014865,           0.0041217,                   0,             0.91654,             0.87629,             0.89116,              0.3839,            0.046355,           0.0038608,                   0,           0.0009507,           0.0009507,           0.0009507
                  71,            0.013763,           0.0041891,                   0,             0.92823,             0.86598,             0.87736,             0.38213,            0.046575,           0.0038741,                   0,            0.000921,            0.000921,            0.000921
                  72,            0.013652,           0.0041638,                   0,             0.91065,              0.8866,             0.89207,             0.38217,            0.045812,           0.0038507,                   0,           0.0008913,           0.0008913,           0.0008913
                  73,            0.013591,           0.0041347,                   0,             0.91245,              0.8866,              0.8924,             0.39553,            0.046253,           0.0038197,                   0,           0.0008616,           0.0008616,           0.0008616
                  74,            0.013368,           0.0040997,                   0,             0.90516,              0.8866,             0.88595,             0.38378,            0.044554,           0.0038508,                   0,           0.0008319,           0.0008319,           0.0008319
                  75,            0.012951,           0.0041262,                   0,             0.92875,             0.87629,             0.89449,              0.3917,            0.044539,            0.003868,                   0,           0.0008022,           0.0008022,           0.0008022
                  76,            0.013818,           0.0040675,                   0,             0.93404,             0.87598,             0.89253,             0.37373,            0.046134,           0.0038343,                   0,           0.0007725,           0.0007725,           0.0007725
                  77,            0.012895,           0.0040668,                   0,             0.89809,             0.86598,             0.87694,             0.38483,            0.046858,           0.0038219,                   0,           0.0007428,           0.0007428,           0.0007428
                  78,            0.012922,           0.0040576,                   0,             0.90771,             0.85567,             0.87276,             0.38272,            0.045523,           0.0038199,                   0,           0.0007131,           0.0007131,           0.0007131
